ids,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,multi_trans,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change
ENSMUST00000066675-0_ENSMUSG00000016510,0.9345949015277424,1.081055221793401,0.1464603202656584,1.2686610048019606,0.4310833303007885,2.377557048250149,0.6175,0.3825,ENSMUST00000066675-0,ENSMUSG00000016510,0.0,2,0,1,0,2,0,0,0.5147579693034239,3,0,0,0,1,0,1,0,2,0,0,0,0,0.3433066223497692
ENSMUST00000066677_ENSMUSG00000053929,0.3319673776182346,0.5666040531450274,0.2346366755267927,1.300729781146979,0.7365875743651602,1.8372801831678387,0.85,0.15,ENSMUST00000066677,ENSMUSG00000053929,0.0026462805057336,5,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.3793212818941213
ENSMUST00000066701_ENSMUSG00000064215,7.009059036887413,0.7244863637489516,-6.284572673138464,0.0129089241824518,2.2902843584676608e-08,0.0675455610698724,0.0,1.0,ENSMUST00000066701,ENSMUSG00000064215,0.0,5,2,3,0,0,1,7,1.0,2,0,0,0,1,2,1,0,0,1,6,0,0,-6.275487416961859
ENSMUST00000066743-0_ENSMUSG00000053950,0.344476610186742,0.5508348600092074,0.2063582498224649,1.2574097856926474,0.8414934339006609,1.8098731528819345,0.8225,0.1775,ENSMUST00000066743-0,ENSMUSG00000053950,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33045489593325494
ENSMUST00000066774_ENSMUSG00000054000,0.9913878428509244,0.3106195065840051,-0.6807683362669195,0.531748678981039,0.2551202282537347,0.8804435628447126,0.0075,0.9925,ENSMUST00000066774,ENSMUSG00000054000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9111835507726349
ENSMUST00000066778_ENSMUSG00000025178,0.5446601894836114,0.330361375163858,-0.2142988143197537,0.8219202228137682,0.5160227852212356,1.113640212125392,0.1225,0.8775,ENSMUST00000066778,ENSMUSG00000025178,0.0,2,0,0,0,0,1,10,1.0,2,1,1,0,1,0,0,0,0,1,9,1,0,-0.2829297249906278
ENSMUST00000066804_ENSMUSG00000054021,0.4015650912254451,0.4055008368729637,0.0039357456475192,1.0199492150900773,0.6720047116658429,1.3629945291904706,0.485,0.515,ENSMUST00000066804,ENSMUSG00000054021,1.0,3,0,0,0,0,0,0,0.0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.028497319881367517
ENSMUST00000066888-0_ENSMUSG00000054079,0.3949355460693038,0.3945622631539638,-0.0003732829153399,1.0135574028353829,0.7120203749016983,1.3707641131429873,0.51,0.49,ENSMUST00000066888-0,ENSMUSG00000054079,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019427798169180277
ENSMUST00000066936_ENSMUSG00000026930,0.3307124653228013,0.5422256928360004,0.2115132275131992,1.261292455179469,0.8318653426324789,1.7258856090758112,0.8775,0.1225,ENSMUST00000066936,ENSMUSG00000026930,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.33490283135028964
ENSMUST00000067072_ENSMUSG00000054196,0.4165528621871469,0.4039808119145819,-0.0125720502725648,1.0052023707744104,0.6440599792867293,1.4039266683013911,0.48,0.52,ENSMUST00000067072,ENSMUSG00000054196,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007485978938101801
ENSMUST00000067137_ENSMUSG00000054226,0.5490886161941256,0.3398554209460072,-0.2092331952481184,0.8246878232329513,0.5501901697573702,1.116990291481456,0.1375,0.8625,ENSMUST00000067137,ENSMUSG00000054226,1.0,3,0,0,0,0,0,0,0.0,0,0,0,2,1,0,0,0,0,0,0,0,0,-0.2780799889900438
ENSMUST00000067145-0_ENSMUSG00000118332,1.3348867972897849,3.0190863693521406,1.6841995720623564,8.531871100796389,0.8655503122223991,22.548303218908025,0.9925,0.0075,ENSMUST00000067145-0,ENSMUSG00000118332,0.0,1,0,1,0,0,0,0,1.0,2,0,0,0,1,0,1,0,0,0,0,0,0,3.0928621696580234
ENSMUST00000067215_ENSMUSG00000054277,0.3344923376584239,0.5360228945120935,0.2015305568536693,1.2488510275818951,0.8425854969671887,1.7680206915730163,0.845,0.155,ENSMUST00000067215,ENSMUSG00000054277,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.32060139160794526
ENSMUST00000067246_ENSMUSG00000021629,0.5511442473784458,0.3325564715581006,-0.218587775820345,0.8197528899531892,0.525461490144689,1.1201854476637598,0.13,0.87,ENSMUST00000067246,ENSMUSG00000021629,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.28673901218938586
ENSMUST00000067284_ENSMUSG00000054309,0.95377072873741,0.3024039006750888,-0.651366828062321,0.5450091584300736,0.2286455359002572,0.8052778755169254,0.0,1.0,ENSMUST00000067284,ENSMUSG00000054309,0.0,3,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.8756476214920487
ENSMUST00000067298_ENSMUSG00000054312,7.719921866658519,0.6202542895163254,-7.099667577142205,0.0087259919215985,7.769031568243135e-09,0.042705378623679,0.0,1.0,ENSMUST00000067298,ENSMUSG00000054312,0.0,2,0,0,0,0,0,2,1.0,2,0,0,0,1,0,0,0,0,0,2,0,0,-6.840465146573984
ENSMUST00000067354_ENSMUSG00000048489,0.9715523304755492,0.3077303404889526,-0.6638219899865976,0.5446353796818145,0.1710783578181937,0.8399547637164688,0.0075,0.9925,ENSMUST00000067354,ENSMUSG00000048489,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.8766373915478657
ENSMUST00000067384_ENSMUSG00000054364,6.8827766759343065,0.3555540637422045,-6.5272226121921015,0.0116756607336609,1.7221936534698667e-07,0.0656326884551841,0.0,1.0,ENSMUST00000067384,ENSMUSG00000054364,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.420351994426233
ENSMUST00000067386_ENSMUSG00000049643,0.4061056131295871,0.4025684995723014,-0.003537113557286,1.0107501484627968,0.7263809105793733,1.3803190169983617,0.48,0.52,ENSMUST00000067386,ENSMUSG00000049643,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.015426415518116104
ENSMUST00000067398_ENSMUSG00000054387,0.4080332561591927,0.4033055724290842,-0.0047276837301084,1.0075416417547072,0.7041107897380153,1.309145983798139,0.47,0.53,ENSMUST00000067398,ENSMUSG00000054387,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.010839466655489093
ENSMUST00000067404_ENSMUSG00000040242,0.4117169027094228,0.4185371368437797,0.0068202341343564,1.0209548999193163,0.7495521021954491,1.4108473419989036,0.4925,0.5075,ENSMUST00000067404,ENSMUSG00000040242,0.0,3,0,1,0,0,0,0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.029919137420568974
