ids,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,multi_trans,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change
9c529bf6-024f-45c3-8d6c-446c2113e0f1-0_7:105809000,0.4071095787069339,0.3947623246127712,-0.0123472540941624,1.0017393722440588,0.6724216460209622,1.3183308766623787,0.4475,0.5525,9c529bf6-024f-45c3-8d6c-446c2113e0f1-0,7:105809000,1.0,2,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0025072038619218407
9c851443-2d81-4316-ac10-c75d4014dbb4-0_7:35608000,0.4051989106789056,0.4040258429062565,-0.0011730677726484,1.0124926789430988,0.7520009465535493,1.4039151606507332,0.49,0.51,9c851443-2d81-4316-ac10-c75d4014dbb4-0,7:35608000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017911476302772514
9d3ee98a-a001-40e1-a20f-da82ff38946c-0_10:37133000,0.5353985543136828,0.3356263840521942,-0.1997721702614887,0.8322685291462844,0.573448594009412,1.120282267497207,0.1225,0.8775,9d3ee98a-a001-40e1-a20f-da82ff38946c-0,10:37133000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2648790098343715
9d4f86dd-ccb3-47d5-910b-b460bfc81241-0_ENSMUSG00000067344,0.4103878485827572,0.4021002137891972,-0.0082876347935606,1.0061851049275157,0.7051994060841505,1.3383221800475265,0.5125,0.4875,9d4f86dd-ccb3-47d5-910b-b460bfc81241-0,ENSMUSG00000067344,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.008895737941914022
9d542353-e181-47f8-857e-fb1fa7649990-0_2:122015000,0.5515905284799444,0.3368561182553859,-0.2147344102245585,0.820713492151857,0.502877643441193,1.072388352167594,0.115,0.885,9d542353-e181-47f8-857e-fb1fa7649990-0,2:122015000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2850494241529586
9d8769d2-8c75-4c84-a7cd-fdb40c026c3d-0_2:109900000,0.4102232773227026,0.4063708971045212,-0.0038523802181815,1.0112487897116218,0.6493425131062156,1.324699521175307,0.4775,0.5225,9d8769d2-8c75-4c84-a7cd-fdb40c026c3d-0,2:109900000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016137976002015643
9d8ef343-eb42-45db-9b79-ff93f3e4e3dd-0_5:25529000,0.3330302941309728,0.5534654268728215,0.2204351327418487,1.2744829923597671,0.8420730224460892,1.874362287479281,0.87,0.13,9d8ef343-eb42-45db-9b79-ff93f3e4e3dd-0,5:25529000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34991212110280656
9da7abf2-d91a-4cc6-b2c9-9e2ae0f2c46c-0_11:106500000,0.9676705774624554,0.2985971375858541,-0.6690734398766012,0.5361435432013141,0.2488702100230711,0.8309381028779926,0.0025,0.9975,9da7abf2-d91a-4cc6-b2c9-9e2ae0f2c46c-0,11:106500000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.89930878573426
9daa429f-8450-4788-89d0-75306530ba4a-0_1:60705000,0.3334144739858334,0.5446737083852795,0.2112592343994464,1.256818005287933,0.868313247793615,1.7261988917346016,0.88,0.12,9daa429f-8450-4788-89d0-75306530ba4a-0,1:60705000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32977575407188053
9ec11246-1a49-4989-a1f6-a9d30d67595e-0_6:28924000,0.4104541793760369,0.4025808422479403,-0.0078733371280968,1.008473321161315,0.6298617673957753,1.3257858518162111,0.5,0.5,9ec11246-1a49-4989-a1f6-a9d30d67595e-0,6:28924000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012172918420506846
9f3c3da4-8344-497f-abcb-097224ab0951-0_1:24611000,7.199574259275704,0.3562318903796608,-6.843342368896042,0.0103368284335628,1.6785911666144916e-08,0.0526370378874883,0.0,1.0,9f3c3da4-8344-497f-abcb-097224ab0951-0,1:24611000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.596062586815
9f453004-dc27-418b-b4ba-7f72db8f14ed-0_2:31947000,0.9383371613245968,0.3064106054010264,-0.6319265559235708,0.5581208182333617,0.2432204515146195,0.8697649039981648,0.0075,0.9925,9f453004-dc27-418b-b4ba-7f72db8f14ed-0,2:31947000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8413506341255603
9f556b1a-bf67-4803-b29f-1e92bcddf4e9-0_19:56602000,0.3311900078862099,0.555636831657115,0.2244468237709053,1.2749151466313895,0.8466030520503536,1.773525481398955,0.8925,0.1075,9f556b1a-bf67-4803-b29f-1e92bcddf4e9-0,19:56602000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35040123013682106
9f7c1b3d-3fa7-4f09-8489-fb5ce93233c4-0_ENSMUSG00000063556,6.9960403478712285,1.0702685792056812,-5.925771768665544,0.0140661213990356,1.016538727652085e-06,0.0560616121827945,0.0,1.0,9f7c1b3d-3fa7-4f09-8489-fb5ce93233c4-0,ENSMUSG00000063556,0.0,1,0,0,0,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-6.151631615981971
ENSMUST00000000001_ENSMUSG00000000001,0.4042411577817402,0.4060405411475514,0.0017993833658112,1.0161742151546966,0.7286521761880533,1.394857246872293,0.5075,0.4925,ENSMUST00000000001,ENSMUSG00000000001,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023147762142963723
ENSMUST00000000090_ENSMUSG00000000088,7.10753440981939,0.3539034720158948,-6.753630937803499,0.0122353873983633,4.3858508076278015e-08,0.0606716744295723,0.0,1.0,ENSMUST00000000090,ENSMUSG00000000088,1.0,2,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,-6.352796408843769
ENSMUST00000000175_ENSMUSG00000000171,7.46241611004323,0.360774144447361,-7.101641965595865,0.0072719361419312,3.745337991610709e-08,0.0451713832723673,0.0,1.0,ENSMUST00000000175,ENSMUSG00000000171,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.103444754013962
ENSMUST00000000194_ENSMUSG00000035352,0.3367930677445708,0.5417912255367022,0.2049981577921313,1.2492601477522236,0.8258318537887234,1.7487967655720569,0.875,0.125,ENSMUST00000000194,ENSMUSG00000035352,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3210739371471233
ENSMUST00000000287_ENSMUSG00000000278,7.438509043814608,0.3573149502305796,-7.081194093584023,0.0084975881507765,1.9209338343454544e-08,0.050766640036885,0.0,1.0,ENSMUST00000000287,ENSMUSG00000000278,0.0,2,1,1,0,0,0,0,0.0,1,0,0,0,1,1,0,0,0,0,0,0,0,-6.878730861842952
ENSMUST00000000304_ENSMUSG00000000295,0.403871650281361,0.4017322868244958,-0.002139363456865,1.0098550088679807,0.7394567097107407,1.331484615905296,0.485,0.515,ENSMUST00000000304,ENSMUSG00000000295,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.014148171192013224
ENSMUST00000000356_ENSMUSG00000000346,0.3371201124608,0.5635675160828019,0.2264474036220022,1.283193104102277,0.8266495211947411,1.8619853311072567,0.8825,0.1175,ENSMUST00000000356,ENSMUSG00000000346,0.0,3,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.359738293862937
ENSMUST00000000365_ENSMUSG00000000355,0.9629661585219124,0.3026118877067549,-0.6603542708151571,0.5416362000852071,0.2381652171436238,0.8782795808857303,0.0,1.0,ENSMUST00000000365,ENSMUSG00000000355,0.0,3,2,2,0,0,0,0,0.0,1,0,0,0,1,2,0,0,0,0,0,0,0,-0.8846039306824927
ENSMUST00000000594-0_ENSMUSG00000000581,0.5529435073899545,0.3466847248616732,-0.2062587825282814,0.8285643923360246,0.5137276113064508,1.1079157122344254,0.13,0.87,ENSMUST00000000594-0,ENSMUSG00000000581,0.1192660550458715,3,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.27131427324759794
ENSMUST00000000696_ENSMUSG00000000682,0.5502246876699738,0.3391904290660367,-0.2110342586039371,0.8249703997439564,0.5097804274950857,1.1184458058310642,0.1325,0.8675,ENSMUST00000000696,ENSMUSG00000000682,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2775857390546236
ENSMUST00000000727_ENSMUSG00000000711,0.343931959956799,0.549673398636478,0.2057414386796787,1.2501634530467358,0.8709147841565722,1.7645782106845431,0.89,0.11,ENSMUST00000000727,ENSMUSG00000000711,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.32211673287420484
ENSMUST00000000756_ENSMUSG00000000740,0.9469719587828396,0.2986151219029272,-0.6483568368799131,0.5481101046906223,0.2259982398696991,0.8420439473787737,0.0,1.0,ENSMUST00000000756,ENSMUSG00000000740,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.8674623631333473
ENSMUST00000000769-0_ENSMUSG00000000753,0.5518871659489526,0.3271363583824982,-0.2247508075664547,0.814138777732238,0.5164167595950956,1.1164269161888436,0.11,0.89,ENSMUST00000000769-0,ENSMUSG00000000753,0.0,3,0,0,0,0,0,3,0.0,1,0,0,0,1,0,0,0,0,0,3,0,0,-0.2966533582816803
ENSMUST00000000844-1_ENSMUSG00000000827,0.3385068176418645,0.5554059856638736,0.2168991680220092,1.2641380824711768,0.8927410572475621,1.8200179632658529,0.8975,0.1025,ENSMUST00000000844-1,ENSMUSG00000000827,0.0029879831113998,6,1,2,0,0,0,0,0.3722627737226277,3,0,0,3,1,1,1,0,0,0,0,0,0,0.3381540584644213
ENSMUST00000000896-0_ENSMUSG00000000876,0.5418381163748457,0.3396125961832008,-0.202225520191645,0.8337684052918531,0.5459845653906013,1.1458893888396746,0.1725,0.8275,ENSMUST00000000896-0,ENSMUSG00000000876,0.0,1,0,1,0,0,0,0,1.0,2,0,0,0,1,0,1,0,0,0,0,0,0,-0.262281390997694
ENSMUST00000000925_ENSMUSG00000000902,0.9439752887281544,0.3002785968863025,-0.6436966918418521,0.5516682308013667,0.2639588396844408,0.8817366509226744,0.0075,0.9925,ENSMUST00000000925,ENSMUSG00000000902,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.8581271932363803
