,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change,log2_fold_change_mean,color
1794,6.107139684813681,6.240881283921996,0.1337415991083168,2.964351411671416,0.0344658505722211,10.194795176110262,0.54,0.46,ENSMUST00000147632,ENSMUSG00000071451,0.0,1,1,1,0,0,0,0,1.0,2,0,0,0,1,0,0,0,0,0,0,0,1.5677164833469468,1.5677164833469468,grey
1105,1.3616162564538177,2.2456216893892904,0.8840054329354753,3.094375624988249,0.6056992340625146,7.982353570264439,0.9,0.1,ENSMUST00000046831-0,ENSMUSG00000040883,0.1611842105263158,5,1,1,0,1,0,0,0.0,1,0,0,2,1,0,0,1,0,0,0,0,1.6296483355766038,1.6296483355766038,grey
2239,3.4839791801324025,4.225507969280584,0.7415287891481858,3.47697695337706,0.1367303244208334,9.30838121612514,0.7975,0.2025,ba7f05e7-56a2-461b-89d8-fed19053d821-0,ENSMUSG00000002010,0.0,3,1,2,0,0,0,0,0.0,1,0,0,0,1,1,0,0,0,0,0,0,1.7978335044084175,1.7978335044084175,grey
1317,0.778877324197221,1.9131061751458776,1.1342288509486562,3.780409069427447,0.9465071061144564,9.17439468777252,0.995,0.005,ENSMUST00000076894-0,ENSMUSG00000040782,0.0,1,1,1,0,1,0,0,0.0,2,0,0,0,1,0,0,1,0,0,0,0,1.9185423536270731,1.9185423536270731,grey
2107,0.7959644314965739,1.9506981103015972,1.154733678805026,4.149698612951664,0.8441395066298072,11.574276139513628,0.985,0.015,ENSMUST00000232101-0,ENSMUSG00000021764,0.9128205128205128,3,1,2,0,0,0,0,0.0,1,0,0,1,1,1,0,0,0,0,0,0,2.053006559257283,2.053006559257283,grey
2323,5.700186203726033,6.341083825643676,0.6408976219176441,4.1886590493960645,0.0464579195784558,18.53876000844449,0.7025,0.2975,d9bea35e-1b4d-4f41-9b1b-033699e5434b-0,ENSMUSG00000054452,0.0,6,2,2,0,0,2,3,0.0,2,0,1,0,2,0,0,0,2,1,0,1,2.0664884557574545,2.0664884557574545,grey
2324,5.700186203726033,6.341083825643676,0.6408976219176441,4.1886590493960645,0.0464579195784558,18.53876000844449,0.7025,0.2975,d9bea35e-1b4d-4f41-9b1b-033699e5434b-0,ENSMUSG00000054452,0.0,6,2,2,0,0,2,3,0.0,2,0,1,0,2,0,0,0,2,1,0,1,2.0664884557574545,2.0664884557574545,grey
856,0.8251911735843064,2.01053447765349,1.1853433040691836,4.204599704741072,0.8895944875071393,10.47251806869881,0.99,0.01,ENSMUST00000030914,ENSMUSG00000029048,0.0,1,1,2,0,3,0,9,0.0322485352764511,5,0,0,0,1,1,0,3,0,9,0,0,2.07196845649125,2.07196845649125,grey
706,0.5479384144065159,1.8124520210530952,1.2645136066465783,4.2875564268204345,0.9615150791592976,10.05330733863298,0.9975,0.0025,ENSMUST00000025236-0,ENSMUSG00000024378,0.0,2,1,2,0,0,0,0,0.0,2,0,0,0,1,1,0,0,0,0,0,0,2.1001556581445358,2.1001556581445358,grey
1990,0.7654705380822656,2.0784244329682493,1.3129538948859838,4.561477234585613,0.7780690960641006,10.938650877291636,0.99,0.01,ENSMUST00000180248-0,ENSMUSG00000094936,0.9984019397145534,5,1,2,0,2,0,0,1.0,2,0,0,2,1,1,0,2,0,0,0,0,2.1895011169073837,2.1895011169073837,grey
1634,4.686920308171485,5.628182522328276,0.9412622141567834,4.725845759941552,0.104341733377258,18.172333514566528,0.8025,0.1975,ENSMUST00000117507,ENSMUSG00000028108,0.0,2,2,2,0,0,0,11,1.0,2,0,1,0,2,0,0,0,0,11,0,1,2.240572544039084,2.240572544039084,grey
1635,4.686920308171485,5.628182522328276,0.9412622141567834,4.725845759941552,0.104341733377258,18.172333514566528,0.8025,0.1975,ENSMUST00000117507,ENSMUSG00000028108,0.0,2,2,2,0,0,0,11,1.0,2,0,1,0,2,0,0,0,0,11,0,1,2.240572544039084,2.240572544039084,grey
1190,0.801667581784569,2.1239907414830514,1.3223231596984826,4.943515006598471,0.8118881247879334,13.686364177601495,0.9925,0.0075,ENSMUST00000058978-0,ENSMUSG00000046949,0.2006269592476489,3,2,3,0,0,0,0,0.0,1,0,0,1,2,1,0,0,0,0,0,0,2.305537211709775,2.305537211709775,grey
1191,0.801667581784569,2.1239907414830514,1.3223231596984826,4.943515006598471,0.8118881247879334,13.686364177601495,0.9925,0.0075,ENSMUST00000058978-0,ENSMUSG00000046949,0.2006269592476489,3,2,3,0,0,0,0,0.0,1,0,0,1,2,1,0,0,0,0,0,0,2.305537211709775,2.305537211709775,grey
1035,0.5613438081747004,1.948538769638203,1.3871949614635044,5.151904443316614,1.0122112210996934,12.427411302108329,1.0,0.0,ENSMUST00000039442,ENSMUSG00000039887,0.0,1,1,1,0,0,0,0,1.0,2,0,0,0,1,0,0,0,0,0,0,0,2.3651058348283582,2.3651058348283582,red
305,1.379520133584938,2.7385415046968915,1.3590213711119516,5.246050246404891,0.7409814868764654,13.080810782398377,0.9775,0.0225,7df78a0b-b0c7-4936-8dea-fdcefd9665eb-0,ENSMUSG00000029064,1.0,3,1,2,0,0,0,1,0.0,2,0,0,2,1,1,0,0,0,1,0,0,2.3912316257294703,2.3912316257294703,grey
1554,0.8012537815102833,2.1978049062440457,1.396551124733763,5.38202488934711,0.8377805459140742,15.744792939248102,0.9925,0.0075,ENSMUST00000109333-0,ENSMUSG00000061474,1.0,2,2,3,0,0,0,0,0.0,2,0,0,1,2,1,0,0,0,0,0,0,2.4281490627833504,2.4281490627833504,grey
1553,0.8012537815102833,2.1978049062440457,1.396551124733763,5.38202488934711,0.8377805459140742,15.744792939248102,0.9925,0.0075,ENSMUST00000109333-0,ENSMUSG00000061474,1.0,2,2,3,0,0,0,0,0.0,2,0,0,1,2,1,0,0,0,0,0,0,2.4281490627833504,2.4281490627833504,grey
