,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change,log2_fold_change_mean,color
23,0.8375678855833496,2.995007809487171,2.15743992390382,13.962582874994554,0.9583521113953228,48.144585389512265,0.9975,0.0025,2f639f79-a288-4862-853a-cab815672ade-0,ENSMUSG00000039450,0.0,3,0,2,0,0,0,2,0.0,2,1,5,0,0,2,0,0,0,2,1,4,3.80349393874645,3.80349393874645,grey
94,0.5957713794607297,2.7814941737531886,2.185722794292458,15.987453890715804,1.052788280958865,53.66714579226566,1.0,0.0,ENSMUST00000110592,ENSMUSG00000027238,0.0,4,0,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,0,1,0,3.9988682931353803,3.9988682931353803,red
95,0.6055343730911623,3.186772842531552,2.5812384694403905,20.73180383142675,1.5001427135750722,71.83390503898508,1.0,0.0,ENSMUST00000111461-0,ENSMUSG00000063235,0.0,2,0,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,0,1,0,4.373773742711289,4.373773742711289,red
85,0.5843234242822976,2.826206121387949,2.2418826971056536,24.91223380200478,0.9543166225691858,67.31040353857168,0.9975,0.0025,ENSMUST00000067955,ENSMUSG00000021905,0.0,2,0,1,0,2,0,3,0.999273607748184,4,1,1,0,0,1,0,2,0,3,1,0,4.638782484213435,4.638782484213435,grey
144,1.3810963524341004,3.71484207867919,2.333745726245087,28.89785475412308,1.0577558621998469,71.99538122319431,1.0,0.0,ENSMUST00000210005,ENSMUSG00000019139,0.219959266802444,4,0,0,0,0,0,0,0.0,1,1,1,1,0,0,0,0,0,0,1,0,4.852890492441611,4.852890492441611,red
184,0.4712023067057012,3.3574140179736287,2.88621171126793,45.02302872950199,1.668506237287574,141.56251283963238,1.0,0.0,c41d9e3f-246f-40f1-99a0-5b06198864a8-0,ENSMUSG00000005354,0.0028558545017285,5,0,1,0,0,0,0,1.0,2,1,1,2,0,1,0,0,0,0,1,0,5.492591206012143,5.492591206012143,red
104,0.6207561695509525,3.923954431088171,3.303198261537219,68.10844778116736,2.3446322593793862,270.8904662737996,1.0,0.0,ENSMUST00000119968-0,ENSMUSG00000019710,0.0242510699001426,5,0,1,0,1,0,0,0.0,1,1,1,1,0,1,0,1,0,0,1,0,6.089761847840232,6.089761847840232,red
78,1.1937578723754674,4.440928930945832,3.2471710585703626,71.87219312372478,1.5828637109116213,308.64512727823177,1.0,0.0,ENSMUST00000046149,ENSMUSG00000037740,0.0,1,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0,0,0,0,1,0,6.1673618043283644,6.1673618043283644,red
167,0.4798583185378057,3.876994008968174,3.3971356904303684,78.34822111966146,1.6586001101196068,280.7447619922973,1.0,0.0,a0755718-e9f4-4255-9c0d-571dcfe1af38-0,ENSMUSG00000036820,0.0,2,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0,0,0,0,1,0,6.291828613861196,6.291828613861196,red
30,0.8005384551892925,4.126315781204098,3.325777326014807,91.1344258858898,1.8265732341956,415.7698399998136,1.0,0.0,3fe74569-3921-4a18-afd1-4a094ccfc8f8-0,ENSMUSG00000015536,0.8536585365853658,4,2,2,0,2,1,7,0.1656626506024096,3,1,1,2,2,0,0,2,1,6,1,0,6.509924227652702,6.509924227652702,red
56,0.4794145133901578,3.8446901630369954,3.365275649646839,92.09698498795662,1.8563842323603736,272.2224249113002,1.0,0.0,91679c3c-0f63-4557-8951-7155fd47ed93-0,ENSMUSG00000059475,0.0,1,5,5,0,1,0,4,1.0,3,1,1,0,5,0,0,1,0,4,1,0,6.525082021951834,6.525082021951834,red
185,0.8321135050061835,4.265581514919162,3.433468009912981,118.19293977439568,2.502102209898267,382.0176580319456,1.0,0.0,c4ae6547-e8b8-4209-9bcd-3b0829a7c8e9-0,ENSMUSG00000034789,0.0,2,0,0,0,0,0,8,0.0,2,1,4,0,0,0,0,0,0,8,1,3,6.8850000488376955,6.8850000488376955,red
160,1.1929472948793105,4.440654946802099,3.2477076519227808,132.33573072988395,1.6277271512021845,288.61258735253165,1.0,0.0,ENSMUST00000228414-0,ENSMUSG00000010376,0.0303763766186615,4,1,1,0,0,0,4,0.0,1,1,1,2,1,0,0,0,0,4,1,0,7.0480588325486435,7.0480588325486435,red
41,0.4694564642044492,3.9545864102382726,3.4851299460338203,157.23424950056426,1.7045329104671385,543.5568141546539,1.0,0.0,58fcfb49-e992-4e78-89c9-4b0aa29973d6-0,ENSMUSG00000013858,0.0,3,0,0,0,0,0,0,0.0,1,2,2,0,0,0,0,0,0,0,2,0,7.296771696192458,7.296771696192458,red
40,0.4694564642044492,3.9545864102382726,3.4851299460338203,157.23424950056426,1.7045329104671385,543.5568141546539,1.0,0.0,58fcfb49-e992-4e78-89c9-4b0aa29973d6-0,ENSMUSG00000013858,0.0,3,0,0,0,0,0,0,0.0,1,2,2,0,0,0,0,0,0,0,2,0,7.296771696192458,7.296771696192458,red
163,0.4793952134620697,3.834110854896463,3.35471564143439,157.6927069933626,2.134801249499668,356.6408329133417,1.0,0.0,ENSMUST00000236623-0,ENSMUSG00000024194,0.0875912408759124,8,0,0,0,0,0,5,0.0,1,1,2,2,0,0,0,0,0,5,1,1,7.300972129371712,7.300972129371712,red
106,0.4871342802649911,3.922131574014129,3.434997293749135,247.5824316463144,2.110264253296118,393.19316686482415,1.0,0.0,ENSMUST00000121339-0,ENSMUSG00000034211,0.2375,5,0,1,1,4,1,4,0.4738154613466334,3,1,1,2,0,1,1,3,1,3,1,0,7.951765134876253,7.951765134876253,red
151,0.7811258530826212,4.780879378715362,3.999753525632741,294.6599910834117,2.0902601680054262,802.6409099394017,1.0,0.0,ENSMUST00000213683,ENSMUSG00000035443,0.0016943409013893,3,0,0,0,1,0,8,0.0,1,1,3,1,0,0,0,1,0,8,1,2,8.202907374484923,8.202907374484923,red
