,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change_mean,color
145,0.4837874842544972,3.9001446254433874,3.416357141188889,122.90952586651866,1.399222868471923,460.0383454860538,1.0,0.0,3b4e41ff-eb8b-4e1b-ad6d-61a6284f7c95-0,ENSMUSG00000032376,0.0,2,0,2,0,0,0,9,0.0,2,0,0,0,0,2,0,0,0,9,0,0,6.941452923124141,red
1131,0.4812072745198155,4.0113928102652965,3.5301855357454794,124.9314267246827,2.308150286847504,438.9572635507207,1.0,0.0,d1fa1bf9-22db-44a2-93c1-c534e40b6380-0,ENSMUSG00000063882,0.0080112157019827,4,0,1,0,0,0,2,0.0,1,0,0,2,0,1,0,0,0,2,0,0,6.964992624901514,red
1,0.4791825142672841,3.944510323287428,3.4653278090201383,125.656594380693,2.149253407994681,528.8119853868625,1.0,0.0,01a645ed-cb5c-470d-98b4-ce5640b20995-0,ENSMUSG00000028982,0.0,1,0,1,0,0,0,0,0.0,2,0,0,0,0,1,0,0,0,0,0,0,6.973342574727341,red
978,1.2407527756567358,4.926732048289759,3.6859792726330216,136.93862845414912,1.2969715519426674,394.2836252873005,1.0,0.0,ENSMUST00000228748,ENSMUSG00000060373,0.0,5,0,1,0,1,0,9,0.2767145135566188,3,0,0,0,0,1,0,1,0,9,0,0,7.097385657687599,red
390,0.4957879245251165,4.14260914977697,3.646821225251848,141.31711089541278,1.6906690545022365,476.89038459962615,1.0,0.0,9d6f5968-4a6c-47db-b400-4df8547010f9-0,ENSMUSG00000031987,0.0,2,0,1,0,0,0,0,0.0049079754601227,3,0,0,0,0,1,0,0,0,0,0,0,7.142792349780612,red
1122,0.6139749012072125,4.312382779183089,3.698407877975876,142.22837714879296,2.1959217969102944,461.254169590101,1.0,0.0,caf62e69-2bfa-469c-bb43-5e9ee5ab99cd-0,ENSMUSG00000027371,0.0,2,0,2,0,0,0,0,0.0,1,0,0,0,0,2,0,0,0,0,0,0,7.152065527358437,red
1123,0.6139749012072125,4.312382779183089,3.698407877975876,142.22837714879296,2.1959217969102944,461.254169590101,1.0,0.0,caf62e69-2bfa-469c-bb43-5e9ee5ab99cd-0,ENSMUSG00000027371,0.0,2,0,2,0,0,0,0,0.0,1,0,0,0,0,2,0,0,0,0,0,0,7.152065527358437,red
628,0.6199113052713014,4.260468509526471,3.6405572042551695,148.52720737627925,2.0662612557069227,573.3290009788908,1.0,0.0,ENSMUST00000097529,ENSMUSG00000033701,1.0,2,1,3,0,0,0,0,0.0,2,0,0,1,1,2,0,0,0,0,0,0,7.214583419464112,red
627,0.6199113052713014,4.260468509526471,3.6405572042551695,148.52720737627925,2.0662612557069227,573.3290009788908,1.0,0.0,ENSMUST00000097529,ENSMUSG00000033701,1.0,2,1,3,0,0,0,0,0.0,2,0,0,1,1,2,0,0,0,0,0,0,7.214583419464112,red
701,0.4788163184954033,3.806738185044941,3.3279218665495383,153.28209130276963,2.052631407384496,423.51551600372136,1.0,0.0,ENSMUST00000111131,ENSMUSG00000068686,0.0,1,2,3,0,0,0,0,0.995759384325428,3,0,0,0,2,1,0,0,0,0,0,0,7.26004533949194,red
1114,0.6048539491759332,4.172610954832494,3.5677570056565595,155.96437625007735,3.0084183634886883,464.446456736106,1.0,0.0,c7772058-318a-447c-a047-2e67e209810e-0,ENSMUSG00000106918,0.0001742463843875,9,0,4,0,0,0,0,1.0,2,0,0,1,0,4,0,0,0,0,0,0,7.285072731193224,red
1115,0.6048539491759332,4.172610954832494,3.5677570056565595,155.96437625007735,3.0084183634886883,464.446456736106,1.0,0.0,c7772058-318a-447c-a047-2e67e209810e-0,ENSMUSG00000106918,0.0001742463843875,9,0,4,0,0,0,0,1.0,2,0,0,1,0,4,0,0,0,0,0,0,7.285072731193224,red
1117,0.6048539491759332,4.172610954832494,3.5677570056565595,155.96437625007735,3.0084183634886883,464.446456736106,1.0,0.0,c7772058-318a-447c-a047-2e67e209810e-0,ENSMUSG00000106918,0.0001742463843875,9,0,4,0,0,0,0,1.0,2,0,0,1,0,4,0,0,0,0,0,0,7.285072731193224,red
1116,0.6048539491759332,4.172610954832494,3.5677570056565595,155.96437625007735,3.0084183634886883,464.446456736106,1.0,0.0,c7772058-318a-447c-a047-2e67e209810e-0,ENSMUSG00000106918,0.0001742463843875,9,0,4,0,0,0,0,1.0,2,0,0,1,0,4,0,0,0,0,0,0,7.285072731193224,red
