,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change_mean,color
5033,0.5548142448559209,0.3261640637301196,-0.2286501811258009,0.8096625725167966,0.5082314971988126,1.078275996196749,0.105,0.895,ENSMUST00000218885,ENSMUSG00000032763,0.0530489765298467,7,0,0,0,0,0,15,0.0,2,0,1,2,0,0,0,0,0,15,0,1,-0.30460730587868473,grey
5034,0.5548142448559209,0.3261640637301196,-0.2286501811258009,0.8096625725167966,0.5082314971988126,1.078275996196749,0.105,0.895,ENSMUST00000218885,ENSMUSG00000032763,0.0530489765298467,7,0,0,0,0,0,15,0.0,2,0,1,2,0,0,0,0,0,15,0,1,-0.30460730587868473,grey
5035,0.5548142448559209,0.3261640637301196,-0.2286501811258009,0.8096625725167966,0.5082314971988126,1.078275996196749,0.105,0.895,ENSMUST00000218885,ENSMUSG00000032763,0.0530489765298467,7,0,0,0,0,0,15,0.0,2,0,1,2,0,0,0,0,0,15,0,1,-0.30460730587868473,grey
5046,0.5548142448559209,0.3261640637301196,-0.2286501811258009,0.8096625725167966,0.5082314971988126,1.078275996196749,0.105,0.895,ENSMUST00000218885,ENSMUSG00000032763,0.0530489765298467,7,0,0,0,0,0,15,0.0,2,0,1,2,0,0,0,0,0,15,0,1,-0.30460730587868473,grey
5037,0.5548142448559209,0.3261640637301196,-0.2286501811258009,0.8096625725167966,0.5082314971988126,1.078275996196749,0.105,0.895,ENSMUST00000218885,ENSMUSG00000032763,0.0530489765298467,7,0,0,0,0,0,15,0.0,2,0,1,2,0,0,0,0,0,15,0,1,-0.30460730587868473,grey
5036,0.5548142448559209,0.3261640637301196,-0.2286501811258009,0.8096625725167966,0.5082314971988126,1.078275996196749,0.105,0.895,ENSMUST00000218885,ENSMUSG00000032763,0.0530489765298467,7,0,0,0,0,0,15,0.0,2,0,1,2,0,0,0,0,0,15,0,1,-0.30460730587868473,grey
5039,0.5548142448559209,0.3261640637301196,-0.2286501811258009,0.8096625725167966,0.5082314971988126,1.078275996196749,0.105,0.895,ENSMUST00000218885,ENSMUSG00000032763,0.0530489765298467,7,0,0,0,0,0,15,0.0,2,0,1,2,0,0,0,0,0,15,0,1,-0.30460730587868473,grey
5040,0.5548142448559209,0.3261640637301196,-0.2286501811258009,0.8096625725167966,0.5082314971988126,1.078275996196749,0.105,0.895,ENSMUST00000218885,ENSMUSG00000032763,0.0530489765298467,7,0,0,0,0,0,15,0.0,2,0,1,2,0,0,0,0,0,15,0,1,-0.30460730587868473,grey
5041,0.5548142448559209,0.3261640637301196,-0.2286501811258009,0.8096625725167966,0.5082314971988126,1.078275996196749,0.105,0.895,ENSMUST00000218885,ENSMUSG00000032763,0.0530489765298467,7,0,0,0,0,0,15,0.0,2,0,1,2,0,0,0,0,0,15,0,1,-0.30460730587868473,grey
5042,0.5548142448559209,0.3261640637301196,-0.2286501811258009,0.8096625725167966,0.5082314971988126,1.078275996196749,0.105,0.895,ENSMUST00000218885,ENSMUSG00000032763,0.0530489765298467,7,0,0,0,0,0,15,0.0,2,0,1,2,0,0,0,0,0,15,0,1,-0.30460730587868473,grey
5043,0.5548142448559209,0.3261640637301196,-0.2286501811258009,0.8096625725167966,0.5082314971988126,1.078275996196749,0.105,0.895,ENSMUST00000218885,ENSMUSG00000032763,0.0530489765298467,7,0,0,0,0,0,15,0.0,2,0,1,2,0,0,0,0,0,15,0,1,-0.30460730587868473,grey
5038,0.5548142448559209,0.3261640637301196,-0.2286501811258009,0.8096625725167966,0.5082314971988126,1.078275996196749,0.105,0.895,ENSMUST00000218885,ENSMUSG00000032763,0.0530489765298467,7,0,0,0,0,0,15,0.0,2,0,1,2,0,0,0,0,0,15,0,1,-0.30460730587868473,grey
1021,0.5664716356329557,0.3383137213210642,-0.2281579143118914,0.8103019569424297,0.4941648525621719,1.0656401592324682,0.1,0.9,69a5536c-6b27-4a83-a778-6f1164fd9674-0,ENSMUSG00000031134,1.0,2,1,1,0,0,0,10,0.0,2,0,0,1,1,0,0,0,0,10,0,0,-0.3034684700940647,grey
1020,0.5664716356329557,0.3383137213210642,-0.2281579143118914,0.8103019569424297,0.4941648525621719,1.0656401592324682,0.1,0.9,69a5536c-6b27-4a83-a778-6f1164fd9674-0,ENSMUSG00000031134,1.0,2,1,1,0,0,0,10,0.0,2,0,0,1,1,0,0,0,0,10,0,0,-0.3034684700940647,grey
1022,0.5664716356329557,0.3383137213210642,-0.2281579143118914,0.8103019569424297,0.4941648525621719,1.0656401592324682,0.1,0.9,69a5536c-6b27-4a83-a778-6f1164fd9674-0,ENSMUSG00000031134,1.0,2,1,1,0,0,0,10,0.0,2,0,0,1,1,0,0,0,0,10,0,0,-0.3034684700940647,grey
1023,0.5664716356329557,0.3383137213210642,-0.2281579143118914,0.8103019569424297,0.4941648525621719,1.0656401592324682,0.1,0.9,69a5536c-6b27-4a83-a778-6f1164fd9674-0,ENSMUSG00000031134,1.0,2,1,1,0,0,0,10,0.0,2,0,0,1,1,0,0,0,0,10,0,0,-0.3034684700940647,grey
1026,0.5664716356329557,0.3383137213210642,-0.2281579143118914,0.8103019569424297,0.4941648525621719,1.0656401592324682,0.1,0.9,69a5536c-6b27-4a83-a778-6f1164fd9674-0,ENSMUSG00000031134,1.0,2,1,1,0,0,0,10,0.0,2,0,0,1,1,0,0,0,0,10,0,0,-0.3034684700940647,grey
1025,0.5664716356329557,0.3383137213210642,-0.2281579143118914,0.8103019569424297,0.4941648525621719,1.0656401592324682,0.1,0.9,69a5536c-6b27-4a83-a778-6f1164fd9674-0,ENSMUSG00000031134,1.0,2,1,1,0,0,0,10,0.0,2,0,0,1,1,0,0,0,0,10,0,0,-0.3034684700940647,grey
1027,0.5664716356329557,0.3383137213210642,-0.2281579143118914,0.8103019569424297,0.4941648525621719,1.0656401592324682,0.1,0.9,69a5536c-6b27-4a83-a778-6f1164fd9674-0,ENSMUSG00000031134,1.0,2,1,1,0,0,0,10,0.0,2,0,0,1,1,0,0,0,0,10,0,0,-0.3034684700940647,grey
1019,0.5664716356329557,0.3383137213210642,-0.2281579143118914,0.8103019569424297,0.4941648525621719,1.0656401592324682,0.1,0.9,69a5536c-6b27-4a83-a778-6f1164fd9674-0,ENSMUSG00000031134,1.0,2,1,1,0,0,0,10,0.0,2,0,0,1,1,0,0,0,0,10,0,0,-0.3034684700940647,grey
1018,0.5664716356329557,0.3383137213210642,-0.2281579143118914,0.8103019569424297,0.4941648525621719,1.0656401592324682,0.1,0.9,69a5536c-6b27-4a83-a778-6f1164fd9674-0,ENSMUSG00000031134,1.0,2,1,1,0,0,0,10,0.0,2,0,0,1,1,0,0,0,0,10,0,0,-0.3034684700940647,grey
1024,0.5664716356329557,0.3383137213210642,-0.2281579143118914,0.8103019569424297,0.4941648525621719,1.0656401592324682,0.1,0.9,69a5536c-6b27-4a83-a778-6f1164fd9674-0,ENSMUSG00000031134,1.0,2,1,1,0,0,0,10,0.0,2,0,0,1,1,0,0,0,0,10,0,0,-0.3034684700940647,grey
1968,0.5556374995744162,0.3311442643716106,-0.2244932352028052,0.8115304447412522,0.5212116650443542,1.064750720210777,0.095,0.905,ENSMUST00000022030-0,ENSMUSG00000021548,1.0,2,2,2,0,0,0,5,0.0,1,0,0,1,2,0,0,0,0,5,0,0,-0.3012828760804313,grey
1967,0.5556374995744162,0.3311442643716106,-0.2244932352028052,0.8115304447412522,0.5212116650443542,1.064750720210777,0.095,0.905,ENSMUST00000022030-0,ENSMUSG00000021548,1.0,2,2,2,0,0,0,5,0.0,1,0,0,1,2,0,0,0,0,5,0,0,-0.3012828760804313,grey
