,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change,log2_fold_change_mean,color
41,0.5569233573999611,0.3309236945435759,-0.2259996628563845,0.8128946896793394,0.5183997198304712,1.1067855064983876,0.11,0.89,ENSMUST00000065373,ENSMUSG00000025940,0.1034482758620689,3,0,0,0,0,1,2,1.0,2,0,0,1,0,0,0,0,1,1,0,0,-0.29885963129337995,-0.29885963129337995,grey
62,0.5567230808663913,0.3338894372298098,-0.2228336436365816,0.8153696206603896,0.5381350734664445,1.1388230933613666,0.1175,0.8825,ENSMUST00000126534-0,ENSMUSG00000033685,0.0,2,0,0,0,0,1,2,0.0,1,0,0,0,0,0,0,0,1,1,0,0,-0.29447388951917186,-0.29447388951917186,grey
68,0.5534916655835125,0.3346755801298357,-0.2188160854536768,0.8166783920956753,0.5107367844779318,1.084802652920734,0.105,0.895,ENSMUST00000154208-1,ENSMUSG00000066026,0.5158069883527454,4,0,2,0,0,1,4,0.0,1,1,1,1,0,2,0,0,1,3,1,0,-0.2921600379053363,-0.2921600379053363,grey
30,0.550020080711395,0.3311159942040628,-0.2189040865073329,0.8171920730656764,0.49337946077972,1.0751941297140546,0.1075,0.8925,ENSMUST00000033241,ENSMUSG00000030946,0.0,1,3,3,0,0,1,7,0.0,1,0,0,0,3,0,0,0,1,6,0,0,-0.2912528851925123,-0.2912528851925123,grey
35,0.5548699217236621,0.3351954473384284,-0.219674474385234,0.8213176540032384,0.5008713390906089,1.1703795733360345,0.1575,0.8425,ENSMUST00000048915-0,ENSMUSG00000038374,0.0,1,0,0,1,1,1,5,0.0,2,0,0,0,0,0,1,0,1,4,0,0,-0.2839877861343915,-0.2839877861343915,grey
37,0.5484662280387345,0.3365363552747809,-0.2119298727639534,0.8249918519596894,0.4753943599611596,1.0840059014387788,0.14,0.86,ENSMUST00000051698-0,ENSMUSG00000022587,0.2326820603907637,7,0,1,0,0,1,5,0.0,1,0,1,3,0,1,0,0,1,4,0,1,-0.2775482242506044,-0.2775482242506044,grey
24,0.5495559132340531,0.3392599532550949,-0.2102959599789584,0.8260547798132934,0.4827653388598132,1.1171604748229491,0.135,0.865,ENSMUST00000023243,ENSMUSG00000022579,0.0,2,0,0,0,0,1,4,0.0,1,0,0,0,0,0,0,0,1,3,0,0,-0.2756906377650801,-0.2756906377650801,grey
48,0.5468397103816907,0.3421869736702985,-0.2046527367113918,0.828337252952879,0.5665099496723968,1.0982321643098818,0.1225,0.8775,ENSMUST00000079703,ENSMUSG00000059586,1.0,2,0,1,0,0,1,8,1.0,2,0,0,1,0,1,0,0,1,7,0,0,-0.2717098222104942,-0.2717098222104942,grey
20,0.4078248326932664,0.3930741365885226,-0.0147506961047437,0.9976474768965994,0.7460845864558628,1.3425099862557748,0.4325,0.5675,ENSMUST00000017453,ENSMUSG00000017309,0.0,1,1,2,0,0,1,5,1.0,2,0,0,0,1,1,0,0,1,4,0,0,-0.003397971887518652,-0.003397971887518652,grey
27,0.4133487610324677,0.4053808198993438,-0.0079679411331239,1.0067766573603565,0.6777770882660437,1.3501144041873792,0.485,0.515,ENSMUST00000027726,ENSMUSG00000026456,0.0,2,0,0,0,0,1,4,1.0,2,0,0,0,0,0,0,0,1,3,0,0,0.00974367236554939,0.00974367236554939,grey
23,0.4057118513322084,0.402904916215643,-0.0028069351165655,1.0106118102035806,0.7044516526333583,1.3271401149439153,0.47,0.53,ENSMUST00000023225,ENSMUSG00000022564,0.0,2,0,0,0,0,1,6,0.0,1,0,2,0,0,0,0,0,1,5,0,2,0.015228944778160511,0.015228944778160511,grey
74,0.407349428356926,0.4105981429175352,0.003248714560609,1.0159155190183764,0.6878536220986756,1.347887429106772,0.52,0.48,ENSMUST00000193210-0,ENSMUSG00000061518,0.875,3,0,1,0,0,1,2,0.0,1,0,0,1,0,1,0,0,1,1,0,0,0.022780436203851655,0.022780436203851655,grey
19,0.5896161747241995,0.576482269156839,-0.0131339055673611,1.0186455620424657,0.5891611339743174,1.5415737036462835,0.475,0.525,ENSMUST00000008179,ENSMUSG00000008035,1.0,2,0,0,0,0,1,1,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0.026652152745355654,0.026652152745355654,grey
0,0.4039409177252973,0.410275805929171,0.0063348882038741,1.0198960252526827,0.6918440424323914,1.3319164127717669,0.5075,0.4925,0fd56850-3eaf-444f-8ec3-ad92f55571ca-0,ENSMUSG00000051154,0.0067567567567567,4,0,0,1,2,2,8,1.0,3,0,3,1,0,0,1,1,2,6,0,3,0.02842208210044713,0.02842208210044713,grey
1,0.4039409177252973,0.410275805929171,0.0063348882038741,1.0198960252526827,0.6918440424323914,1.3319164127717669,0.5075,0.4925,0fd56850-3eaf-444f-8ec3-ad92f55571ca-0,ENSMUSG00000051154,0.0067567567567567,4,0,0,1,2,2,8,1.0,3,0,3,1,0,0,1,1,2,6,0,3,0.02842208210044713,0.02842208210044713,grey
36,0.4008018956409677,0.4108198594958718,0.0100179638549041,1.0223561056281507,0.7444180158520688,1.3734313457603424,0.5125,0.4875,ENSMUST00000049093,ENSMUSG00000038393,1.0,2,0,0,0,0,1,7,0.0,1,0,1,1,0,0,0,0,1,6,0,1,0.03189780130363816,0.03189780130363816,grey
6,0.404731456152531,0.4129046374181053,0.0081731812655748,1.023394516310444,0.7230563838043629,1.3779015458852055,0.5025,0.4975,64297202-8470-4dd7-820d-5de26e40c228-0,ENSMUSG00000026150,0.0018724201029831,6,0,0,0,0,1,3,0.0,1,0,0,2,0,0,0,0,1,2,0,0,0.033362408039521396,0.033362408039521396,grey
78,1.0545505405057454,1.047726791668887,-0.0068237488368586,1.06594741981439,0.4039783255581248,1.8322536747779048,0.4975,0.5025,ENSMUST00000222449-0,ENSMUSG00000021241,0.5405405405405406,5,0,0,1,1,1,2,1.0,2,0,0,2,0,0,1,0,1,1,0,0,0.0921362757669684,0.0921362757669684,grey
82,0.4125009023972103,0.5599095458016363,0.1474086434044261,1.186949021328449,0.7040798156313544,1.7020028791938704,0.745,0.255,c2fe5633-22a5-4d41-a9c4-e5f7543b06e9-0,ENSMUSG00000071172,1.0,3,0,1,0,0,1,1,0.0,1,0,2,2,0,1,0,0,1,0,0,2,0.24725797351730447,0.24725797351730447,grey
80,0.344822315191903,0.546936513367555,0.2021141981756522,1.24818470349943,0.7700611987230629,1.7006673070426563,0.87,0.13,ENSMUST00000231762-0,ENSMUSG00000051483,1.0,2,0,0,0,0,1,1,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0.3198314366887995,0.3198314366887995,grey
14,0.3366990117610593,0.5465188273835936,0.2098198156225342,1.253771440031057,0.8164073057219572,1.690760571882301,0.8925,0.1075,ENSMUST00000002180-0,ENSMUSG00000002111,1.0,2,0,0,0,0,1,4,0.0,1,0,0,1,0,0,0,0,1,3,0,0,0.32627437175431373,0.32627437175431373,grey
38,0.3376931412821273,0.5461309629761538,0.2084378216940264,1.2553281958702174,0.8036094126119067,1.7777719975612103,0.8725,0.1275,ENSMUST00000052691-0,ENSMUSG00000050088,0.5411764705882353,3,0,0,0,0,1,1,0.0,2,0,0,1,0,0,0,0,1,0,0,0,0.3280645949762904,0.3280645949762904,grey
21,0.341989645348674,0.5530655883109845,0.2110759429623109,1.2595303426777318,0.8700817929141019,1.8419594269559456,0.865,0.135,ENSMUST00000017572,ENSMUSG00000017428,0.0,3,0,0,0,0,1,14,1.0,2,0,1,0,0,0,0,0,1,13,0,1,0.3328858776921651,0.3328858776921651,grey
11,0.3389036206813212,0.5503300448373009,0.2114264241559802,1.2600077208615377,0.838599396289983,1.77085812308511,0.8725,0.1275,9465519d-3b7a-4239-8f72-c68f75abd981-0,ENSMUSG00000030815,0.0,4,0,0,0,1,1,8,0.0,1,0,0,0,0,0,0,1,1,7,0,0,0.33343257405417936,0.33343257405417936,grey
33,0.3340036492781882,0.5471695987005659,0.2131659494223779,1.2626682968141747,0.792016323333547,1.7530306913018014,0.8675,0.1325,ENSMUST00000039537,ENSMUSG00000038712,0.1502678319706794,7,0,0,0,0,1,2,0.0,1,0,0,2,0,0,0,0,1,1,0,0,0.33647569265447197,0.33647569265447197,grey
54,0.3310001458557254,0.5489841740584164,0.2179840282026907,1.2658031177749434,0.8588233819824143,1.7986447354735275,0.885,0.115,ENSMUST00000108702,ENSMUSG00000018217,0.0,3,0,0,0,0,1,4,0.0,1,0,0,0,0,0,0,0,1,3,0,0,0.34005302633152784,0.34005302633152784,grey
22,0.3285425991222412,0.5459919858648251,0.217449386742584,1.2662341866407858,0.8438612234933927,1.7833849877705743,0.89,0.11,ENSMUST00000019302-0,ENSMUSG00000019158,1.0,2,0,0,0,0,1,2,0.0,2,0,0,1,0,0,0,0,1,1,0,0,0.3405442520492187,0.3405442520492187,grey
44,0.3340063530360351,0.5511011312695786,0.2170947782335438,1.2669729990016274,0.819589047973462,1.7227209113314783,0.8725,0.1275,ENSMUST00000071361,ENSMUSG00000064264,0.0,3,0,0,0,0,2,2,0.0,1,0,0,0,0,0,0,0,2,0,0,0,0.3413857789210799,0.3413857789210799,grey
45,0.3340063530360351,0.5511011312695786,0.2170947782335438,1.2669729990016274,0.819589047973462,1.7227209113314783,0.8725,0.1275,ENSMUST00000071361,ENSMUSG00000064264,0.0,3,0,0,0,0,2,2,0.0,1,0,0,0,0,0,0,0,2,0,0,0,0.3413857789210799,0.3413857789210799,grey
70,0.3392926583025062,0.5566046143480432,0.2173119560455373,1.2683746002804246,0.8215319243489393,1.7807899663375446,0.885,0.115,ENSMUST00000166176-0,ENSMUSG00000015536,0.8536585365853658,4,1,2,0,2,1,7,0.1656626506024096,3,0,1,2,1,1,0,2,1,6,0,1,0.3429808922860399,0.3429808922860399,grey
57,0.3333284389539132,0.5492277870435455,0.2158993480896326,1.2690504834480816,0.8460896106130166,1.8679618481847788,0.875,0.125,ENSMUST00000112859-0,ENSMUSG00000059689,0.0,5,0,0,0,1,1,1,1.0,2,0,0,0,0,0,0,1,1,0,0,0,0.34374946143396323,0.34374946143396323,grey
59,0.3380483707672105,0.558410740242604,0.2203623694753932,1.2694884530470112,0.8366870522965892,1.7557772170823198,0.8975,0.1025,ENSMUST00000117449,ENSMUSG00000005078,0.0,3,0,0,0,0,1,6,1.0,2,0,0,0,0,0,0,0,1,5,0,0,0.34424727264782434,0.34424727264782434,grey
4,0.3382054944919305,0.5512516728594473,0.2130461783675168,1.269543543427325,0.7902691336059493,1.8569625561926577,0.85,0.15,4ed9c5b2-0986-448b-85dd-8b7ea6379dfa-0,ENSMUSG00000078427,1.0,2,1,1,0,0,1,9,0.0,1,0,0,1,1,0,0,0,1,8,0,0,0.34430987809635927,0.34430987809635927,grey
69,0.3316170553496394,0.5549082381353968,0.2232911827857575,1.2713918973556817,0.7868653608780494,1.7108212152360618,0.9275,0.0725,ENSMUST00000160708-0,ENSMUSG00000004626,0.0,7,0,0,1,1,1,2,0.0,1,0,0,0,0,0,1,0,1,1,0,0,0.3464087992053321,0.3464087992053321,grey
61,0.3314812992220659,0.5548486499662493,0.223367350744183,1.2750462350690872,0.8483042919684864,1.7708938090567572,0.9,0.1,ENSMUST00000123413,ENSMUSG00000022884,0.1193976335604159,7,2,2,0,0,1,12,0.0,2,0,0,3,2,0,0,0,1,11,0,0,0.35054956229628687,0.35054956229628687,grey
75,0.3334963567417743,0.5603091001899724,0.2268127434481981,1.2763289028988272,0.8814338504848794,1.7590803264434638,0.8975,0.1025,ENSMUST00000203077,ENSMUSG00000036371,0.0806916426512968,5,0,0,0,0,1,8,1.0,2,0,0,2,0,0,0,0,1,7,0,0,0.35200015154554004,0.35200015154554004,grey
77,0.3340174143069009,0.5554471959010109,0.2214297815941099,1.2770782220552577,0.8111223083169133,1.900955571519194,0.86,0.14,ENSMUST00000204293-0,ENSMUSG00000036371,0.0951008645533141,5,0,0,1,1,2,5,0.0,1,0,0,3,0,0,1,0,2,3,0,0,0.35284689396392904,0.35284689396392904,grey
76,0.3340174143069009,0.5554471959010109,0.2214297815941099,1.2770782220552577,0.8111223083169133,1.900955571519194,0.86,0.14,ENSMUST00000204293-0,ENSMUSG00000036371,0.0951008645533141,5,0,0,1,1,2,5,0.0,1,0,0,3,0,0,1,0,2,3,0,0,0.35284689396392904,0.35284689396392904,grey
28,0.3342698933080325,0.5592068800083304,0.2249369867002973,1.2775750698844603,0.8504513533129037,1.7514281900905826,0.9025,0.0975,ENSMUST00000030501-0,ENSMUSG00000028729,0.0,1,0,0,1,1,1,9,1.0,2,0,0,0,0,0,1,0,1,8,0,0,0.35340806593240437,0.35340806593240437,grey
25,0.3351946916264668,0.5567455176788515,0.2215508260523843,1.2841129566927547,0.818237138173266,1.969854392341304,0.8425,0.1575,ENSMUST00000024270-0,ENSMUSG00000023505,1.0,2,0,0,0,0,1,5,0.0,2,0,1,1,0,0,0,0,1,4,0,1,0.36077211437049855,0.36077211437049855,grey
60,0.460915894145906,0.9004788625722269,0.4395629684263206,1.6265360751319644,0.9217756998103696,2.6829114325625016,0.9575,0.0425,ENSMUST00000121651,ENSMUSG00000042198,0.048689138576779,4,0,0,0,0,1,4,0.0,2,0,0,1,0,0,0,0,1,3,0,0,0.7018028204342674,0.7018028204342674,grey
12,0.4427237384153343,0.9753635086545092,0.5326397702391743,1.8174720926684111,0.8866456780638408,3.2861032026282158,0.9625,0.0375,ENSMUST00000002090-0,ENSMUSG00000002014,0.0955165692007797,6,1,1,0,0,1,5,0.0,1,0,0,3,1,0,0,0,1,4,0,0,0.8619332116948029,0.8619332116948029,grey
66,0.6056999997712788,2.9361494661780108,2.3304494664067312,17.56143524050505,1.2797908607178308,68.90347306812897,1.0,0.0,ENSMUST00000142734-0,ENSMUSG00000050335,0.0,1,0,1,1,1,1,5,0.0,1,0,0,0,0,1,1,0,1,4,0,0,4.1343388514772865,4.1343388514772865,red
40,0.473279426419031,3.3513478174357543,2.878068391016721,40.45048375418235,1.4349342423808231,157.31158492359174,1.0,0.0,ENSMUST00000064200,ENSMUSG00000052369,0.0,2,0,0,0,1,1,8,0.0,1,0,0,0,0,0,0,1,1,7,0,0,5.338085051079986,5.338085051079986,red
86,0.8494141349895239,4.002508901437128,3.1530947664476003,56.01728437577785,1.5919099223146291,243.24422403129736,1.0,0.0,d9bea35e-1b4d-4f41-9b1b-033699e5434b-0,ENSMUSG00000054452,0.0,6,2,2,0,0,2,3,0.0,2,0,1,0,2,0,0,0,2,1,0,1,5.80780014055324,5.80780014055324,red
87,0.8494141349895239,4.002508901437128,3.1530947664476003,56.01728437577785,1.5919099223146291,243.24422403129736,1.0,0.0,d9bea35e-1b4d-4f41-9b1b-033699e5434b-0,ENSMUSG00000054452,0.0,6,2,2,0,0,2,3,0.0,2,0,1,0,2,0,0,0,2,1,0,1,5.80780014055324,5.80780014055324,red
